meet,rcDate,rcNo,rcDist,hrNo,hrNm,jkNm,trNm,wght,hrWght,age,sex,rcTime,s1f,g3f,ordBigo,trackCond,weather,ord,winOdds,plcOdds
3,20250601,1,1200,1,드래곤킹,문세영,김영관,53.5,480.0,3,거,71.2,8.7,33.8,9-7-4,양호,맑음,6,0.0,0.0
3,20250601,1,1200,2,루비스타,이승헌,최두환,53.9,510.0,4,수,70.1,9.5,29.9,4-6-2,양호,맑음,2,0.0,4.8
3,20250601,1,1200,3,청룡,유현명,오창근,52.7,508.0,7,암,69.6,6.4,26.3,9-2-7,양호,맑음,1,12.4,5.0
3,20250601,1,1200,4,플라잉킹,유현명,박배진,54.1,490.0,5,수,71.0,8.8,32.1,4-5-2,양호,맑음,8,0.0,0.0
3,20250601,1,1200,5,무적호,장석현,조순호,58.1,470.0,6,암,70.1,9.5,29.2,6-4-5,양호,맑음,4,0.0,0.0
3,20250601,1,1200,6,번개호,김민기,김영관,56.3,454.0,8,암,70.9,7.3,30.7,9-4-6,양호,맑음,7,0.0,0.0
3,20250601,1,1200,7,명마왕,장석현,정길상,53.6,443.0,5,거,72.1,7.9,26.7,6-4-8,양호,맑음,9,0.0,0.0
3,20250601,1,1200,8,영웅호,박찬호,정해성,53.0,451.0,8,거,70.8,8.6,27.6,7-7-6,양호,맑음,5,0.0,0.0
3,20250601,1,1200,9,스피드킹,이찬호,이재형,55.6,447.0,3,수,69.6,10.2,27.0,7-2-7,양호,맑음,3,0.0,7.8
1,20250601,2,1200,1,크리스탈,정성원,이재형,55.6,449.0,8,거,72.1,7.2,32.0,4-3-6,포슬,흐림,10,0.0,0.0
1,20250601,2,1200,2,코스모스,박태종,이재형,55.8,502.0,7,암,71.0,11.1,32.1,1-2-6,포슬,흐림,6,0.0,0.0
1,20250601,2,1200,3,매직타임,송재광,박재형,53.7,459.0,7,암,70.9,10.1,26.4,2-9-3,포슬,흐림,5,0.0,0.0
1,20250601,2,1200,4,백마왕,김용근,정해성,58.6,453.0,7,수,70.3,10.2,30.2,9-4-5,포슬,흐림,1,6.2,3.0
1,20250601,2,1200,5,실버윙,박찬호,김동수,55.1,481.0,3,수,72.1,7.4,26.5,10-9-4,포슬,흐림,9,0.0,0.0
1,20250601,2,1200,6,영웅호,최보경,조순호,52.1,497.0,3,암,70.7,7.4,34.6,2-9-4,포슬,흐림,2,0.0,2.6
1,20250601,2,1200,7,뉴레전드,조성곤,정해성,53.5,451.0,7,암,70.9,8.5,27.8,7-4-2,포슬,흐림,4,0.0,0.0
1,20250601,2,1200,8,독수리,유현명,오창근,54.5,473.0,8,거,70.6,5.6,32.6,2-1-7,포슬,흐림,7,0.0,0.0
